Name,Type,One Liner,Industry,Website,Service / Product Description,Business Model,Technology,Customer,Pain Point,Value Chain,Theme,Focus Area,Opportunity Space,Founded,Employees,Country,City,Funded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Inc. Radar,Hero,Comments,,,Old or New
4shipping,,Online marketplace for freight transportation through inland waterways,Maritime,https://www.4shipping.com,"4shipping provides an online platform to connect boat owners and operators with shippers. Boat owners need to specify capacity details of their boat on the platform to receive suitable offers. If there is a shipping request, the boat operator can bid discreetly on the platform. Shippers create a load request and select an offer from available bids. The platform can also be used for monitoring the status of freight and communicate with the boat operator. It charges a commission of 1% on each transaction from the carrier.",,,,,,,,,2013,,Netherlands,Rotterdam,Yes,Funded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
BunkerEX,,,,,"Online marketplace bringing transparency to bunker procurement. They match supply and demand in a more direct way, bypassing traditional bunker brokers,",,,,,,,,,,,,,,,,,,,,,,,,,,
51 Fast Matching,,Online marketplace for freight transportation services,Logistics,http://www.51kpwang.com,"51 Fast Match is an online marketplace for freight transportation services. The platform enables shippers to receive quotes from multiple transport operators after providing load & other details. Subsequently, shippers can choose and book their preferred carrier. Features include real-time location tracking, reporting, online payments, analytics, and more. Its mobile app is available for iOS & Android devices.",,,,,,,,,2016,,China,Xinxiang,Yes,Series A,,7228520,,Existing,,,,,,Data & AI,Fleet Utilization,Old
51TMS,,Transport management solutions,,http://51tms.cn/,"51 TMS is a SaaS-based end-to-end transport management solution for the logistics industry. The solution comprises of a mobile app for drivers (features include dispatching, task management, e-POD, etc), a client/consumer-facing platform for booking & managing services, and a cloud-based management platform for carriers. The solution covers aspects such as waybill generation & management, fleet capacity management, operational analytics, account management, invoicing, real-time cargo visibility, and more",,,,,,,,,2016,,India,,,,,-,,,,,,,,,1.5 Cargo handling automation,Old
75fahrenheit,,Technology solutions for energy conservation and resolve temperature imbalance,Built Environment,,,,,,,,,,,2012,,USA,Mankato,No,Series A,,28373608,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
A-76 Technologies,,,,a76tech.com,Corrosion preservation coatings and lubricants manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,Old
A-TMS,,Software solutions for fleet management,Logistics,http://www.a-tms.ru,"A-TMS provides flight planning and GPS dispatching software systems. Some of the features provided by the software include automatic scheduling and distribution of requests for vehicles, fleet monitoring, online updates and scheduling on change of plans, multiple client delivery-automation, and more.",,,,,,,,,2018,,Russia,Smolensk,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
AcceleFreight,,Tech-enabled freight forwarder,Maritime,https://www.accelefreight.com,"AcceleFreight is a Malaysia-based digital freight forwarder. Offers an online platform which enables users/shippers to book services as well as manage freight with functionalities such as document management, compliance management, analytics, and transactions management among others. Services offered include FCL/LCL sea freight transportation, air freight transportation, trucking, warehousing (conventional & bonded), and customs clearance.",,,,,,,,,2018,,Malaysia,Petaling Jaya,No,Unfunded,,,,Distant,,,,,,Business Model Innovation,Freight Orchestration,Old
Accelerated Dynamics,,,,accelerateddynamics.co/,Accelerated Dynamics builds AI for robot mission control and fleet management.,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Accipiter Radar Technologies,,Radar systems for persistent detection and tracking targets,,https://www.accipiterradar.com/,"Accipiter Radar provides 2D & 3D radar systems for persistent detection and tracking of cooperative and uncooperative targets on the water, in the air and on the ground. Products include Accipiter’s M3 Target Information System, a multi-sensor, multi-mission & multi-user platform for target data processing, query and retrieval; and Surveillance-to-Intelligence tools for a live tactical situational awareness in homeland security, aviation safety, and environmental protection. Other solutions include Radar-as-a-Service (RaaS), a cloud-based, real-time air domain awareness (ADA) and maritime domain awareness (MDA) intelligence and Cloud Intelligence service, a browser-based analytics detailing historical target traffic patterns over a region and time period.",,,,,,,,,1994,,USA,Orchard Park,Yes,Series A,,4700000,,,,,,,,Eco friendly enforcement & enablement,Automated port surveillance,Old
Adaptive Balancing Power,,Flywheel-based energy storage solution developers,Energy,,,,,,,,,,,2016,,Germany,Darmstadt,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Aeon Renewables,,Water based biofuel additive to existing fuels for reducing emissions,Energy,,,,,,,,,,,2014,,USA,Oakland,No,Unfunded,,,,Emerging,,,,,,Fuel & Efficiency,Fuel Additives,Old
Agilys,,Software solutions provider for the logistics industry,,http://www.agilys.io/,"Agilys provides a suite of software solutions for the logistics industry. Product offerings include 'Road' - a transport management solution for the trucking industry, 'Overseas' - a document management & cargo tracking solution the maritime logistics industry, 'WMS' - an inventory solution, and an account management solution. Additionally, the company also offers 'iTracking', a mobile application (iOS & Android) which also functions as a tracking device and a communication channel with drivers. The solution encompasses features such as real-time tracking, EDI & integrations, route planning, fleet management, invoicing, analytics, and more",,,,,,,,,2015,,France,Genas,,Undisclosed,,,,,,,,,,Supply chain optimisation,End-to-end supply chain transparency,Old
AGNI,,Hydrogen boron-based nuclear fusion reactor developer,Nuclear Reactors,,,,,,,,,,,2017,,,,No,Unfunded,,,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
Agree Freight,,Online platform for vessel booking,Maritime,https://www.agreefreight.com,"Agree Freight is a web-based platform that connects shippers with container carriers. Shippers can enter the port of loading and destination; and the platform displays all sailings on the given route by ETD, ETA, Last Loading Day and price. Platform enables shippers to view real-time container freight rates offered by carriers and make a booking or bid their own price. Platform also offers a priority service 'Hot Box' with must load policy, extended cut off times, top stow, priority discharge at destination ports. Platform also charges a 'No Show' fee if shippers fail to deliver the freight to the booked vessel.",,,,,,,,,2016,,China,Hong Kong,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Aida Tech,,AI-based predictive analytics solutions for financial institutions,,http://aidatech.io,"Using its expertise in machine learning, AIDA Technologies is developing the AIDA Vessel Arrival Prediction Engine to accurately predict the arrival times of vessels. This ensures resources such as vessel parking slots, cranes, prime movers, bunker supply ships and necessary manpower are available, while simultaneously preventing costly and disruptive delays. When validated by back-testing against historical data, this cloud-based application demonstrated improved accuracy rates of up to 40%. This can be further improved when supplemented with weather data and an Automatic Identification System",,,,,,,,,2016,,Singapore,,,,,Undisclosed,,,,,,,,,3.4 Port value added services,Old
AiDock,,AI algorithm to automate the customs clearance process in the supply chain. Customs clearance,,https://www.aidock.net/,"AiDock brings the actual revolution to this industry, by providing the first fully automated customs clearance process. Starting from understanding the document type, extracting the data and finally classifying the H.S. code of each product. By using cutting edge technologies like deep learning and our own unique algorithms (patent pending) we can handle the entire process from getting the pre-alert to providing the H.S. classifications in less than a minute.",,,,,,,,,2017,,Israel,Rehovot,,Undisclosed,,,,,,,,,,Smart Ports,Port bottleneck optimisation,Old
Air Cargo Bid,,Air cargo marketplace,Aviation,https://www.aircargo-bid.com,"AirCargo-Bis is an online marketplace for connecting shippers and air cargo service providers. The shippers can request a bid for shipping by providing required item and delivery details. The registered forwarders and transportation providers bid on this request. The company compiles all the bids nd provides the shipper with the lowest bid. The shippers can approve the bid, pay via approved methods and AirCargo-Bid will then transfer the shipment on their behalf.",,,,,,,,,2015,,USA,Suwanee,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Switching Transport Mode,Old
Air Co.,,Vodka made out of air,Consumer,https://aircompany.com/,"Brooklyn-based Air Co. makes pure and sustainable vodka out of thin air, sugar free, carbohydrates free, gluten free, carbon negative. The team uses solar power to capture excess carbon from the air, which is distilled and filtered to produce ethanol, the base ingredient for all alcoholic drinks.  
Air Co.’s patented technology transforms carbon dioxide captured from the air into impurity-free ethyl alcohol that can be used in spirits, fragrances, cleaning, and a variety of consumer industries. In the long- term, it can even be used as a renewable and carbon-neutral fuel. Our technology uses only air, water, and sunlight as inputs. This is done by capturing carbon dioxide from the air using solid sorbent air capture technology and generating electricity from sunlight using solar panels, which also power our patent-pending electrochemical reactor. This system breaks apart the captured carbon dioxide, along with water, over our proprietary catalysts and reforms them to produce alcohol with pure oxygen as the only byproduct. This process has net negative carbon emissions, removing a half of a kilogram of carbon dioxide from the atmosphere per kilogram of alcohol produced in a complete lifecycle analysis.",,,,,,,,,2017,,USA,Brooklyn,Yes,Funded,,,,Distant,,,,,,Business Model Innovation,CO2 Reduction Monetization In Other Industries,Old
Air Freight Bazaar,,Online platform for air cargo tariff,Aviation,http://www.airfreightbazaar.com,"AirFreight Bazar provides an online platform for aggregating air cargo tariff rates. Carriers, forwarders, and other stakeholders can provide their air cargo tariff rates to customers using the platform. Apart from tariff rates, it also provides flight schedule information, AWB tracking and flight status information on the website.",,,,,,,,,2015,,India,Chennai,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Switching Transport Mode,Old
Air Freight Bid,,Online air-freight marketplace,Aviation,https://www.airfreight.bid,"Air Freight is an online marketplace for finding , comparing and booking air freight rates from multiple service providers. The website does not charge users for finding and booking the carriers on their website. However, it charges carriers to get listed on their website. Users can just upload their requirement from excel sheet or any other table, choose from the carrier rates provided and confirm to the selected carrier.",,,,,,,,,2013,,Switzerland,Widnau,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
AIRates,,Air freight marketplace,Aviation,https://www.airates.com,AIRates provides door to door air freight costs by tieing up with local cargo agents. Services can be booked via phone or the website.,,,,,,,,,2013,,England,London,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Aircarbon,,AirCarbon is a Singapore-based Commodities Exchange using distributed ledger technology on a traditional trading architecture.  It leverages blockchain architecture to create securitized carbon credit on Ethereum and ERC20 & ERC721 tokens.,Blockchain,,,,,,,,,,,2019,,Singapore,Singapore,Yes,,,750000,,Distant,,,,,,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old
AirFreight IT Australia,,Online air freight booking,Aviation,http://airfreightit.com.au,"Air Freight It provides competitive air quotes to users. The users can list down the type of load or package, and destination details to request a quote. Claims to reply with quotes within an hour. The company allows booking for air freight, excess air baggage, small and medium sized packages, documents etc. Users can track their shipments.",,,,,,,,,2015,,Australia,Brisbane,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Airli,,Provider of app for managing asthma,Healthcare,https://lab10.coop,"Airli is a provider of an app for managing asthma. It is a cloud-based platform that provides data includes vegetation Index, weather, wind, rainfall, climate patterns, pollution, CO2 emissions, celestial body positions, transits, forces to manage the health of asthma patients. It alerts users when there are critical pollen levels in the air & predicts levels based on weather, season and live satellite location data. It helps in tracking medicine usage, live doctor chat and provides location-based outdoor air quality health data.",,,,,,,,,2018,,Australia,Sydney,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,CO2 Tracking,Old
Airoboticsdrones,,,,,"Port Monitoring and Traffic Control
 Aerial situational awareness beyond the shoreline for purposes of vessel navigation and security
  Environmental Health and Safety
  - Operational Oversight
  Routine and on-demand equipment inspection
  Inventory volume tracking of outdoor bulk material storage areas
  General monitoring of processes and statuses throughout seaport",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Airrays,,Adaptive antenna systems enabling MIMO,Telecomm,http://airrays.com,"Airrays provides adaptive antenna systems for the RAN, enabling a large number of active antenna elements as required for MIMO (Multiple Input Multi Output). Its technology utilizes integrated RF and signal processing components and is scalable up to 100+ active elements.",,,,,,,,,2013,,Germany,Dresden,Yes,Series A,,,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Airspace Technologies,,Technology enabled logistics service provider,Logistics,https://www.airspacetechnologies.com,"Airspace Technologies is a technology-enabled logistics service provider. It matches shippers with independent transporters who can use a car, cargo van, sprinter vans and boxed trucks (16 and 24 ft) to execute delivery. The platform also provides features like automated quoting, routing and real-time tracking. Its services include next flight out, international shipping, dangerous goods transport, and more.",,,,,,,,,2014,,USA,San Diego,Yes,Series B,,28000000,,Emerging,,,,,,Data & AI,Fleet Utilization,Old
Airtus,,On demand air freight marketplace,Aviation,https://www.airtus.com,"Airtus provides an online platform connecting shippers with air carriers for freight transportation. Users can search available carriers by filling in the necessary details like origin and end destination, weight, cargo type, etc, book and ship air freight. Offers dashboard for managing transactions and keeping tabs of all shipment bookings.",,,,,,,,,2016,,USA,Seattle,No,Acquired,,,,Distant,,,,,,Business Model Innovation,Freight Orchestration,Old
AKUA,,IoT based secure tracking solution,,https://www.akua-inc.com/,"AKUA provides secure, persistent environmental monitoring and tracking solutions for inter-modal cargo containers and protects against loss of cybercrime, theft, damage or spoilage. Platform AKUA is a secure Data as a Service (DaaS) gateway platform for the supply chain and logistics markets. Technology authenticates IoT sensors, devices, and edge data by employing tracking devices, multi-layer security, in-transit analytics, and web services based supply chain tracking and monitoring. Spunout of CyberPoint, which is the second spin-off after PivotPoint Risk Analytics in 2015. Awarded a fixed price contract by the DHS and BMD to participate in the Container Security Device Technology Demonstration",,,,,,,,,2016,,USA,Baltimore,Yes,Series A,,3000000,,,,,,,,Supply chain optimisation,End-to-end supply chain transparency,Old
AkzoNobel - International brand,,,,https://www.akzonobel.com/corporate-product/antifoulingfoul-release,Marine paint to reduce CO2 emissions,,,,,,,,,,,,,,,,,,,,,,,,,,Old
ALCAN Systems,,Smart antenna to enable connectivity in vehicles,Telecomm,https://www.alcansystems.com,"ALCAN Systems provides a smart antenna which can be mounted on moving vehicles (cars, trains, ships, etc.) to enable network connectivity. The company claims that its antenna has an electronic beam steering/signal tracking capability which allows it to continuously track signals from GEO, MEO or LEO satellites from stationary or mobile vehicles.",,,,,,,,,2013,,Germany,Darmstadt,Yes,Series A,,8805820,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Allegro,,,,https://allegro.ai/,"Allegro.AI provides deep learning as a serviceplatform for computer vision based applications. The platform allows users to build data sets, automate image and video annotation, train and compare results for image-based neural networks in real-time, and then deploy the deep learning models. It provides its own proprietary auto-annotation process and distributes the jobs across GPU workstations and remote VMs to improve hyper-parameter optimization. The customers can work on the platform as cloud, on-premise product, or a combination of both. The platform has application in developing and training models for autonomous driving, security, and medical applications. The company has been invested in by MizMaa Ventures, Robert Bosch VC, Samsung Catalyst Fund, and Dynamic Loop Capital",,,,,,,,,2016,,,,,,,11000000,,,,,,,,,,Old
Alpha Ori,,,,https://www.alphaori.sg/,"Alpha Ori Technologies provides digital solutions to the maritime industry utilizing advanced technologies like IoT, big data, and artificial intelligence. Its portfolio products include SMARTShip: IoT-enabled ship connectivity & tracking system, BigDATA: AI & ML powered maritime analytics platform, and ShipERP: web-based ship management software suite. Some of its customers include Lauritzen Bulkers, Synergy Group, Singtel, Global United, and ST Electronics, among others.",,,,,,,,,2017,,Singapore,Singapore,,Undisclosed,,,,,,,,,,Smart Ports,Port bottleneck optimisation,Old
Alpha Wireless,,Wireless antennas provider,Telecomm,https://jmawireless.com/,"Alpha Wireless provides wireless antenna to telecom operators and other service providers. Its product portfolio includes canister (700MHz – 2.6GHz spectrum), concealment (CAN, rCAN and shrouds include 700MHz – 3.5GHz spectrum configurations), panel (beamforming support for 8 port antennas includes 4×4 and 8×8 MIMO), small cell (3.5GHz, 2.6GHz, 2.1GHz, and 800MHz to drive small cell deployments includes Sectors, Omnis, etc), and other integrated, signage, billboards.",,,,,,,,,2007,,Ireland,Ballybrittas,Yes,Series A,,,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Alphabet Energy,,Developer of thermoelectric materials for waste heat recovery,Energy,,,,,,,,,,,2009,,USA,Hayward,No,Series C,,52676829,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Alternet Systems,,Provides energy storage solution for military applications,Energy,,,,,,,,,,,2018,,,,No,Unfunded,,,,Distant,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Ambri,,Liquid Metal Battery technology,Energy,,,,,,,,,,,2010,,USA,Cambridge,No,Series C,,67290642,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
American Fuel Cell,,Membrane Electrode Assembly developer,Renewables,,,,,,,,,,,2014,,USA,Rochester,No,Seed,,50000,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
Amyris Biotechnologies,,,,amyris.com,"The company is developing renewable fuels that reduce lifecycle (GHG) emissions 80%. The fuel source is special in that it is compatible with current gasoline engines, and can be distributed with existing petroleum infrastructure.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Ankeri Solutions,,,,https://www.ankeri.net,We are developing cloud based platform to enable charters and shipowners to share and benefit from ship performance data. Ankeri is our second startup within ship performance. We are currently working with a major container operator as development customer/partner and we are aiming to expand to Bulk carriers.,,,,,,,,,,,,,,,,,,,,,,,,,,Old
AnyLogistix,,"Supply chain optimization, network design and analysis software",Logistics,https://www.anylogistix.com,"anyLogistix is a software for supply chain optimization, network design, and analysis. It allows manufacturers to model supply chain end-to-end, analyze inventory, suppliers, sourcing and transportation, do ""what-if"" analysis, and analyze supply chain throughput and capacity, optimize inventory, supply chain risk assessment, and production capacity planning.",,,,,,,,,2015,,Russia,St. Petersburg,No,Unfunded,,,,,,,,,,Data & AI,Demand & Supply Prediction,Old
Applicat,,Field service solutions suite,Logistics,http://www.applicat.com,"Applicat provides Hormiga, a end to end field service management &amp; workforce software. Provides features for scheduling, dispatching, inventory and asset management, real time monitoring, route optimisation, knowledge base, collaboration through work order sharing, analytical tools and more.",,,,,,,,,2009,,Israel,Tel Aviv,No,Unfunded,,,,Emerging,,,,,,Data & AI,Fleet Utilization,Old
Arc-Net,,,,https://arc-net.io/,"Arc-net is a cloud-based data company developing web based products to supports product and brand security, authenticity and securing the supply chain through data analytics using Blockchain technology. It identifies, tracks and analyses all assets and components along with every interaction across the whole supply chain.",,,,,,,,,2014,,,,,,,$2M,,,,,,,,,,Old
ARK Technology,,,,http://ark.technology/,Software solutions for environmental management in maritime industry,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Arniot,,,,http://www.arniot.com/,"Arniot offers IoT based industrial solutions enabling real-time visibility of supply chainalong with asset tracking, waste reduction, and maximizing efficiency. In the manufacturing field, it offers automation solutions. Offers GPS + sensor-enabled hardware which collects information on vehicle location, speed, distance travelled, driver details, and turnaround time enabling fleet management through mobile. Other solutions include SmartTags to assign unique IDs to each RTI, and link information such as shipping list and package weight to the RTI ID. Warehouse management, source tagging, inventory tracking throughout the assembly process are other solutions.",,,,,,,,,2013,,,,,,,,,,,,,,,,,Old
Arolytics,,Software for monitoring and analyzing atmospheric emissions data,SaaS,https://www.arolytics.com,"Arolytics is a provider of software for monitoring and analyzing atmospheric emissions data. It offers software called AROviz that provides visualization of real-time emissions, trends, and prediction of emission sources. It also offers consulting services for controlling emissions.",,,,,,,,,2018,,Canada,Calgary,Yes,Seed,,25000,,Distant,,,,,,CO2 Transparency,CO2 Tracking,Old
ArrayComm,,MIMO antenna signal processing,Telecomm,https://www.kymetacorp.com,"ArrayComm develops software for wireless infrastructure and client device applications (in LTE and WiMAX ) to improve baseband performance. Also provides Multi-antenna signal (MAS) processing suite, A-MAS, for base station and mobile/CPE applications in 4G. Its solution combines MIMO, beamforming, and interference cancellation aspects to improve user experiences and network economics through enhanced coverage, data rates, and system capacities. Owned by Ygomi.",,,,,,,,,1992,,USA,San Jose,Yes,Series D,,45000000,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Arrive Logistics,,Tech-enabled 3PL provider,Logistics,https://www.arrivelogistics.com,"Arrive Logistics offers load matching software allowing carriers to identify active capacity within their network. Offers GPS mobile tracking for shippers and carriers on every load from pick up to delivery, customized KPIs and reports offering data driven solutions based on a client's supply chain needs while its EDI integration helps in streamlining order entry, truck assignment, and accounting processes. Bookings and transactions, both take place through the platform and drivers are paid within 48 hours of service fulfillment.",,,,,,,,,2014,,USA,Austin,Yes,Series B,,40000000,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Arta,,Online logistics platform for specialized cargo,Logistics,https://shiparta.com/,"Arta offers an online platform to book and track logistics services for specialized/sensitive goods (such as fine art, antiques, collectibles & designer goods). The platform enables users to receive quotes from multiple verified art shipping companies. Users can then choose a quote of their choice and book services. Services include transportation, shipping, packing & crating. The platform also enables real-time tracking/shipment visibility and online payments. Clients include Anton Kern Gallery, Marian Goodman Gallery, and Aspen Art Museum among others.",,,,,,,,,2014,,USA,New York City,Yes,Seed,,1000000,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
astrosat.space,,,,,"Commercial space services. Sourcing, analysing and deploying satellite driven data",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Astyx,,"SATCOM linearizers, automotive radars, and industry sensors provider",Telecomm,https://www.optinav.com,"ASTYX  provides SATCOM (satellite communication) linearizers, automotive radars, and industry sensors to the customers. Its product portfolio includes SATCOM linearizers (used in power amplifiers for fast data transmission systems, leads to energy savings), automobile radar systems (77GHz radar systems using digital beamforming technology), and industry sensors (offshore oil &amp; gas, pneumatic actuators, and proximity sensors).",,,,,,,,,1997,,Germany,Ottobrunn,No,Unfunded,,,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Atoll Energy,,Co-generation systems,Energy,,,,,,,,,,,2010,,France,Aixe-sur-vienne,No,Seed,,492330,,Existing,,,,,,Fuel & Efficiency,New Fuel Types,Old
Atomation,,Software and hardware development kits for IoT,,http://atomation.net/,Atomation is a team of makers and techies dedicated to forming an end-to-end IoT platform for the seamless creation of smart objects. ,,,,,,,,,2014,,USA,St Louis,Yes,Seed,,5100000,,,,,,,,Supply chain optimisation,End-to-end supply chain transparency,Old
Aura Wireless,,Software defined antenna provider,Telecomm,https://ultraseecorp.com/,"Aura Wireless provides software-defined antenna to wireless service providers. It provides Apogee- proprietary firmware that enables the autonomous operation of the various antenna features and communication with a cloud platform. Its product features include sectorization, active filters, beamforming, embedded low noise amplifier, embedded digital compass. It also offers design, RF planning, and testing services.",,,,,,,,,2016,,USA,Saint Petersburg,No,Unfunded,,,,Existing,,,,,,Data & AI,5G Connectivity,Old
Aurelia Turbines,,Small gas turbine manufacturer,Energy,,,,,,,,,,,2013,,Finland,Lappeenranta,No,Series A,,4519250,,Emerging,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
